,0
Id,0
MSSubClass,0
MSZoning,4
LotFrontage,486
LotArea,0
Street,0
Alley,2721
LotShape,0
LandContour,0
Utilities,2
LotConfig,0
LandSlope,0
Neighborhood,0
Condition1,0
Condition2,0
BldgType,0
HouseStyle,0
OverallQual,0
OverallCond,0
YearBuilt,0
YearRemodAdd,0
RoofStyle,0
RoofMatl,0
Exterior1st,1
Exterior2nd,1
MasVnrType,24
MasVnrArea,23
ExterQual,0
ExterCond,0
Foundation,0
BsmtQual,81
BsmtCond,82
BsmtExposure,82
BsmtFinType1,79
BsmtFinSF1,1
BsmtFinType2,80
BsmtFinSF2,1
BsmtUnfSF,1
TotalBsmtSF,1
Heating,0
HeatingQC,0
CentralAir,0
Electrical,1
1stFlrSF,0
2ndFlrSF,0
LowQualFinSF,0
GrLivArea,0
BsmtFullBath,2
BsmtHalfBath,2
FullBath,0
HalfBath,0
BedroomAbvGr,0
KitchenAbvGr,0
KitchenQual,1
TotRmsAbvGrd,0
Functional,2
Fireplaces,0
FireplaceQu,1420
GarageType,157
GarageYrBlt,159
GarageFinish,159
GarageCars,1
GarageArea,1
GarageQual,159
GarageCond,159
PavedDrive,0
WoodDeckSF,0
OpenPorchSF,0
EnclosedPorch,0
3SsnPorch,0
ScreenPorch,0
PoolArea,0
PoolQC,2909
Fence,2348
MiscFeature,2814
MiscVal,0
MoSold,0
YrSold,0
SaleType,1
SaleCondition,0
SalePrice,1459
